iter	Passed	Remaining
214	2285	8344
215	2295	8330
216	2304	8316
217	2314	8303
218	2324	8289
219	2334	8275
220	2343	8260
221	2352	8245
222	2361	8229
223	2371	8216
224	2380	8200
225	2390	8187
226	2399	8171
227	2410	8160
228	2419	8144
229	2429	8133
230	2439	8119
231	2448	8106
232	2458	8093
233	2467	8076
234	2476	8062
235	2485	8046
236	2495	8032
237	2504	8018
238	2513	8002
239	2522	7988
240	2532	7976
241	2544	7969
242	2555	7961
243	2567	7953
244	2577	7943
245	2587	7931
246	2597	7918
247	2606	7904
248	2617	7893
249	2626	7880
250	2635	7864
251	2644	7849
252	2654	7836
253	2663	7823
254	2673	7811
255	2683	7799
256	2693	7786
257	2703	7775
258	2713	7762
259	2723	7750
260	2731	7734
261	2739	7717
262	2748	7702
263	2758	7689
264	2767	7674
265	2776	7660
266	2785	7646
267	2795	7634
268	2803	7618
269	2812	7605
270	2820	7588
271	2829	7573
272	2838	7558
273	2846	7543
274	2855	7527
275	2863	7512
276	2872	7497
277	2881	7483
278	2890	7470
279	2899	7456
280	2908	7442
281	2917	7428
282	2926	7413
283	2934	7397
284	2942	7383
285	2951	7368
286	2960	7353
287	2968	7339
288	2977	7324
289	2986	7312
290	2996	7299
291	3005	7286
292	3014	7274
293	3024	7261
294	3034	7253
295	3045	7243
296	3055	7231
297	3064	7219
298	3074	7208
299	3083	7195
300	3093	7183
301	3102	7170
302	3111	7157
303	3119	7142
304	3128	7129
305	3138	7117
306	3147	7105
307	3157	7093
308	3166	7080
309	3175	7068
310	3185	7057
311	3195	7047
312	3206	7038
313	3217	7029
314	3227	7018
315	3238	7009
316	3250	7003
317	3263	6999
318	3275	6992
319	3286	6983
320	3297	6975
321	3307	6965
322	3317	6953
323	3327	6941
324	3337	6930
325	3347	6919
326	3357	6909
327	3366	6897
328	3376	6885
329	3387	6876
330	3398	6869
331	3409	6860
332	3420	6851
333	3431	6842
334	3443	6835
335	3454	6826
336	3464	6816
337	3474	6806
338	3484	6793
339	3492	6780
340	3502	6768
341	3510	6754
342	3519	6741
343	3528	6728
344	3536	6714
345	3545	6701
346	3554	6688
347	3562	6675
348	3571	6662
349	3580	6649
350	3589	6637
351	3598	6624
352	3607	6611
353	3615	6598
354	3624	6585
355	3633	6572
356	3642	6560
357	3652	6549
358	3661	6538
359	3671	6527
360	3680	6515
361	3690	6503
362	3700	6493
363	3710	6483
364	3719	6470
365	3728	6459
366	3738	6447
367	3747	6435
368	3757	6425
369	3767	6414
370	3778	6405
371	3787	6394
372	3797	6383
373	3806	6372
374	3816	6360
375	3826	6349
376	3835	6337
377	3844	6326
378	3854	6315
379	3863	6303
380	3873	6292
381	3882	6280
382	3891	6268
383	3900	6257
384	3909	6245
385	3918	6233
386	3928	6222
387	3937	6210
388	3946	6198
389	3955	6186
390	3964	6174
391	3973	6162
392	3981	6150
393	3991	6138
394	3999	6126
395	4008	6114
396	4017	6102
397	4026	6090
398	4035	6078
399	4044	6066
400	4053	6054
401	4061	6041
402	4070	6030
403	4079	6017
404	4088	6006
405	4097	5994
406	4107	5984
407	4116	5973
