iter	Accuracy	MultiClass
456	0.9355052391	0.1890554679
457	0.9354450199	0.1889324218
458	0.9355654583	0.1887371656
459	0.9356256775	0.1886669088
460	0.9357461159	0.18856898
461	0.9358665543	0.1883644445
462	0.9360472119	0.1881167429
463	0.9359869927	0.1879988426
464	0.936107431	0.1878957287
465	0.9361676502	0.1877863161
466	0.9361676502	0.1875793867
467	0.9361676502	0.1874363164
468	0.936107431	0.1872994569
469	0.9362880886	0.1870642731
470	0.936408527	0.1869771528
471	0.9362880886	0.1869048758
472	0.9362278694	0.1867616934
473	0.9362278694	0.186713287
474	0.9363483078	0.1865429009
475	0.9365891846	0.1863631547
476	0.936709623	0.1861747977
477	0.9366494038	0.1860140107
478	0.936709623	0.1859163448
479	0.9368902806	0.1857780878
480	0.9368300614	0.1855892632
481	0.9368902806	0.1853445156
482	0.9368300614	0.1851353927
483	0.9369504998	0.1849576862
484	0.937010719	0.1848269866
485	0.9371311574	0.1847312649
486	0.9371311574	0.184528312
487	0.9371913766	0.1844116116
488	0.9371913766	0.1842485906
489	0.9371311574	0.1840605944
490	0.9371913766	0.183879449
491	0.9372515958	0.1836711086
492	0.9374322534	0.1834722206
493	0.9374924726	0.1833882519
494	0.9376731302	0.1832666617
495	0.9376731302	0.1830913125
496	0.9377935686	0.1829864579
497	0.9374924726	0.1828141283
498	0.9374924726	0.182656588
499	0.9377935686	0.1825527497
500	0.9379742262	0.1824006641
501	0.9379742262	0.1822812797
502	0.9380344454	0.182012208
503	0.938215103	0.1818809281
504	0.9380946646	0.1818182831
505	0.938215103	0.1817302143
506	0.9383957606	0.1816059184
507	0.9383355414	0.1814210033
508	0.9383957606	0.1813158849
509	0.9386366374	0.181159517
510	0.9386968566	0.1810933311
511	0.9386968566	0.180979445
512	0.9386968566	0.1808545285
513	0.938817295	0.1807138661
514	0.9390581717	0.1806319437
515	0.9391183909	0.1805471884
516	0.9390581717	0.1803880504
517	0.9390581717	0.1802889149
518	0.9392990485	0.1801612796
519	0.9394194869	0.1799998297
520	0.9392990485	0.1798938216
521	0.9392388293	0.1796807557
522	0.9392388293	0.179582529
523	0.9393592677	0.1794430483
524	0.9392388293	0.1793461167
525	0.9392388293	0.1791116423
526	0.9391786101	0.1790439842
527	0.9391786101	0.1789512242
528	0.9393592677	0.1788382722
529	0.9394797061	0.1786088517
530	0.9395399253	0.1784578732
531	0.9398410213	0.1781854865
532	0.9398410213	0.1781169163
533	0.9399012405	0.1780300061
534	0.9399614597	0.1779113495
535	0.9399012405	0.1778252887
536	0.9401421173	0.1776889205
537	0.9400818981	0.1776181267
538	0.9401421173	0.1774882208
539	0.9403829941	0.1773604695
540	0.9403829941	0.1772357508
541	0.9403829941	0.1771542982
542	0.9405034325	0.1770454468
543	0.9404432133	0.176866167
544	0.9404432133	0.1767998149
545	0.9405636517	0.1766040967
546	0.9405636517	0.1764729259
547	0.9405636517	0.1763343688
548	0.9404432133	0.1762536731
549	0.9403829941	0.1760925583
550	0.9405034325	0.1760108921
551	0.9405034325	0.175823717
552	0.9403829941	0.1756704281
553	0.9404432133	0.17549169
554	0.9405636517	0.1754292318
555	0.9406238709	0.1752315852
556	0.9405034325	0.1751660751
557	0.9405034325	0.175024483
558	0.9404432133	0.1749218163
559	0.9405034325	0.17482084
560	0.9405636517	0.1747255023
561	0.9405636517	0.1745705432
562	0.9405636517	0.1744083405
563	0.9406840901	0.1743112881
564	0.9408647477	0.1741662781
565	0.9411056245	0.1740201237
566	0.9412260629	0.1738907215
567	0.9412862821	0.1737442795
568	0.9412862821	0.1736190049
569	0.9413465013	0.1735014191
570	0.9413465013	0.1734124738
571	0.9412862821	0.1732842964
572	0.9413465013	0.1731325399
573	0.9415271589	0.1729857999
574	0.9417680356	0.1728591041
575	0.9417680356	0.1726873886
576	0.941888474	0.1725656579
577	0.9420089124	0.1724977435
578	0.9420691316	0.1724171289
579	0.9421293508	0.172342091
580	0.9419486932	0.1722450127
581	0.9420089124	0.1721135923
582	0.9419486932	0.1720002961
583	0.9419486932	0.1719343732
584	0.9420089124	0.1717841854
585	0.9420691316	0.1716367055
586	0.9420089124	0.171474254
587	0.9420691316	0.1713273946
588	0.9420691316	0.1712531544
589	0.9422497892	0.1710695237
590	0.9423100084	0.1709909979
591	0.9424304468	0.1709353157
592	0.942490666	0.1708705003
593	0.9423702276	0.1707648325
594	0.9427315428	0.1705748252
595	0.9430326388	0.1704122429
596	0.943092858	0.1701837935
597	0.9430326388	0.1700680942
598	0.9431530772	0.1700041321
599	0.9432735156	0.1699298409
600	0.9433337348	0.1698186261
601	0.9432735156	0.1697549002
602	0.943393954	0.1696084386
603	0.9432735156	0.169510623
604	0.943393954	0.1693812407
605	0.9433337348	0.1692764374
606	0.9433337348	0.1691684461
607	0.9433337348	0.1690801297
608	0.9432132964	0.1690093389
609	0.9435143924	0.1688612581
610	0.9432735156	0.1687923421
611	0.9435143924	0.1686760867
612	0.9435746116	0.1685409895
613	0.9437552692	0.1683157321
614	0.9438154884	0.168112543
615	0.9441165844	0.1679613517
